	At3g22380	At1g22770	At2g25930	At5g02810	At3g46640	At5g60100	At2g40080	At2g46830	At1g01060	At5g61380
NRID12092_Nimmo_1.18_Shoots.0hr.AJ1ATH1S01_Rep1_ATH1.CEL.gz	9.290228588	8.476581159	8.648008387	6.577424912	8.45583886	8.939302903	10.26727912	2.131952708	2.489088094	9.709368842
NRID12093_Nimmo_1.19_Shoots.3hr.AJ1ATH1S02_Rep1_ATH1.CEL.gz	9.303949436	5.489228592	8.714297896	3.872574022	7.644752462	8.004427873	9.364157723	2.685742873	4.317271177	9.314025025
NRID12094_Nimmo_1.20_Shoots.6hr.AJ1ATH1S03_Rep1_ATH1.CEL.gz	9.307602971	3.800971084	8.346733667	2.924373114	6.966251475	6.723490003	8.824701486	6.874460979	7.896078064	8.572160059
NRID12095_Nimmo_1.21_Shoots.9hr.AJ1ATH1S04_Rep1_ATH1.CEL.gz	9.244620976	3.853847019	7.930952167	2.832679884	6.110563751	5.968198753	7.42557822	9.796035163	10.20585574	7.361143633
NRID12096_Nimmo_1.22_Shoots.12hr.AJ1ATH1S05_Rep1_ATH1.CEL.gz	9.272475289	6.077512198	6.319256078	7.426946901	4.340970423	4.290450765	6.099693467	11.21710917	11.19199085	5.932190016
NRID12097_Nimmo_1.23_Shoots.15hr.AJ1ATH1S06_Rep1_ATH1.CEL.gz	8.932635567	6.300576594	5.453715345	8.688402784	3.554367205	3.503495494	4.930125538	11.03882192	10.86471915	5.729496463
NRID12098_Nimmo_1.24_Shoots.18hr.AJ1ATH1S07_Rep1_ATH1.CEL.gz	9.553967324	10.06259047	7.375709412	9.628556047	5.34203807	7.453933068	7.104187661	8.436223358	8.307995	7.443167213
NRID12099_Nimmo_1.25_Shoots.21hr.AJ1ATH1S08_Rep1_ATH1.CEL.gz	9.293717264	10.01257747	8.062004583	8.863931022	8.473138477	8.350466146	9.633980542	4.513594913	5.412375818	9.144675431
NRID12100_Nimmo_1.26_Shoots.24hr.AJ1ATH1S09_Rep1_ATH1.CEL.gz	10.03365908	9.023648736	8.722642464	7.438520509	8.239908147	8.913471686	9.887677924	3.88155891	4.60173987	9.266249811
NRID12101_Nimmo_1.27_Shoots.27hr.AJ1ATH1S10_Rep1_ATH1.CEL.gz	9.412402539	6.826856609	8.589196162	4.764844363	7.831161529	8.071950577	9.183448228	4.066998532	5.502217807	9.170035834
NRID12102_Nimmo_1.28_Shoots.30hr.AJ1ATH1S11_Rep1_ATH1.CEL.gz	9.855126315	5.972032919	8.186913683	4.972201567	7.060255705	7.405998394	8.760427515	8.702184626	9.11469128	8.13017003
NRID12103_Nimmo_1.29_Shoots.33hr.AJ1ATH1S12_Rep1_ATH1.CEL.gz	9.549394019	3.684252436	8.070506072	3.831249804	6.937996795	6.253985265	7.753887448	10.19446003	10.19861245	7.482104099
NRID12104_Nimmo_1.30_Shoots.36hr.AJ1ATH1S13_Rep1_ATH1.CEL.gz	9.348503239	7.776080206	6.779093792	8.960957967	4.96166263	5.75128145	6.9669022	10.2178135	10.1203697	6.537890866
NRID12105_Nimmo_1.31_Shoots.39hr.AJ1ATH1S14_Rep1_ATH1.CEL.gz	9.439268722	7.920009252	6.370099764	9.169486587	4.377018497	4.558315791	7.402944416	10.331802	10.3045053	6.197540445
NRID12106_Nimmo_1.32_Shoots.42hr.AJ1ATH1S15_Rep1_ATH1.CEL.gz	9.738383091	9.951011265	7.958403901	9.254320042	7.277807229	8.054976019	9.077940096	8.111228057	8.157383249	8.305345418
NRID12107_Nimmo_1.33_Shoots.45hr.AJ1ATH1S16_Rep1_ATH1.CEL.gz	10.01901834	10.16243729	8.205410686	8.638062111	8.138620955	8.364170745	9.674628105	6.360765912	6.968616644	8.915914688
NRID12108_Nimmo_1.34_Shoots.48hr.AJ1ATH1S17_Rep1_ATH1.CEL.gz	9.363633008	8.717307295	8.544464624	7.070693419	7.964124255	8.27403878	9.163736024	4.395298468	5.458108466	9.01647928
