	At4g14210	At1g31800	At1g57770	At5g67030	At5g57030	At5g52570	At5g17230	At3g53130	At4g25700	At1g67080	At3g04870	At3g10230	At1g06820	At2g21860	At1g08550
NRID12092_Nimmo_1.18_Shoots.0hr.AJ1ATH1S01_Rep1_ATH1.CEL.gz	9.892258745	10.14207418	6.75282928	9.244688529	8.900112	4.203719178	11.76668413	7.961826737	8.806284928	9.013719673	9.992158577	8.852312499	8.196598069	9.338419796	10.33128108
NRID12093_Nimmo_1.19_Shoots.3hr.AJ1ATH1S02_Rep1_ATH1.CEL.gz	10.03010478	10.12189357	6.840345275	9.82213319	8.83885112	4.416038048	11.8689798	8.198859911	9.69770053	8.631039473	9.906623056	9.188168341	8.150817886	9.290623072	9.881068776
NRID12094_Nimmo_1.20_Shoots.6hr.AJ1ATH1S03_Rep1_ATH1.CEL.gz	9.895224318	9.898371405	7.495462595	10.29620556	8.942928459	5.87007234	11.98333819	8.287838624	9.773657737	8.780195978	10.34871673	9.333200157	7.950259033	9.273577363	9.622331174
NRID12095_Nimmo_1.21_Shoots.9hr.AJ1ATH1S04_Rep1_ATH1.CEL.gz	10.15779895	9.958826039	7.998305863	11.19009275	9.31834964	8.614805952	12.11027684	8.20667259	10.03341134	8.898461781	10.20342094	9.833839567	8.185563686	9.50901606	9.589035785
NRID12096_Nimmo_1.22_Shoots.12hr.AJ1ATH1S05_Rep1_ATH1.CEL.gz	10.08420978	9.450616063	7.208702992	12.43571198	8.850576873	9.663450598	12.16086347	7.292872586	8.924712965	8.611741298	9.830599286	9.991166416	8.139643053	8.682333673	8.314649526
NRID12097_Nimmo_1.23_Shoots.15hr.AJ1ATH1S06_Rep1_ATH1.CEL.gz	9.957265042	9.535453084	7.89200178	12.15794852	9.199477702	8.448401823	11.98066941	7.946717695	8.916487407	9.009002658	9.984185131	9.831087829	8.098878283	9.011776612	8.870967783
NRID12098_Nimmo_1.24_Shoots.18hr.AJ1ATH1S07_Rep1_ATH1.CEL.gz	9.785359749	8.820393759	6.674734679	11.69612915	8.175826003	4.925050841	11.10960486	6.689816557	7.335683167	9.136971417	9.555869092	8.968950684	7.957656614	8.210923122	9.577562623
NRID12099_Nimmo_1.25_Shoots.21hr.AJ1ATH1S08_Rep1_ATH1.CEL.gz	9.670055001	9.443982953	7.254436267	10.28554056	8.717776667	4.329656358	11.21761742	7.835821158	7.92917436	9.257393959	9.702608959	8.762621523	8.203086347	9.223163597	10.21191124
NRID12100_Nimmo_1.26_Shoots.24hr.AJ1ATH1S09_Rep1_ATH1.CEL.gz	9.727761881	9.54846884	4.602935481	10.01318321	8.595922515	4.117337488	11.61487135	6.809284572	8.321594972	8.730604998	9.859304665	8.796656058	7.859797654	9.126852968	9.791541468
NRID12101_Nimmo_1.27_Shoots.27hr.AJ1ATH1S10_Rep1_ATH1.CEL.gz	9.999080349	9.96235961	6.732021949	10.26806543	9.022317076	5.084883091	11.95277744	8.041243343	9.505387446	8.934165989	10.00844843	9.28336348	8.021641702	9.371441253	9.923889289
NRID12102_Nimmo_1.28_Shoots.30hr.AJ1ATH1S11_Rep1_ATH1.CEL.gz	9.974216533	9.667448341	6.614045995	11.5269989	9.094074699	6.925274778	12.09331898	7.789734354	8.841746425	8.867475303	10.24246063	9.651494705	7.973242962	8.861614351	9.387069174
NRID12103_Nimmo_1.29_Shoots.33hr.AJ1ATH1S12_Rep1_ATH1.CEL.gz	10.30253528	9.898268343	6.414430162	11.46279317	9.373429137	9.083949865	12.32983714	8.218268273	9.855350051	8.415209637	10.47810414	9.455775781	8.353316105	9.491661355	9.205638442
NRID12104_Nimmo_1.30_Shoots.36hr.AJ1ATH1S13_Rep1_ATH1.CEL.gz	9.881463527	9.392853169	6.584512944	12.31310725	8.470506638	7.661773723	11.72040841	6.836383248	7.941905496	8.791716172	9.824527014	9.168133117	7.905472621	8.470406601	8.307859946
NRID12105_Nimmo_1.31_Shoots.39hr.AJ1ATH1S14_Rep1_ATH1.CEL.gz	9.952896506	9.352929793	6.732021949	12.05818975	8.853404846	6.044510389	11.72035435	7.482104865	8.38090278	9.010258749	9.630122228	9.441588194	7.869809687	8.690900087	9.01590208
NRID12106_Nimmo_1.32_Shoots.42hr.AJ1ATH1S15_Rep1_ATH1.CEL.gz	9.287917774	8.775951077	5.711603901	11.04646167	7.734044138	4.203719178	10.80072665	6.47558263	7.237784845	9.050351597	9.438824049	8.301292386	7.83387515	8.429596254	8.963111436
NRID12107_Nimmo_1.33_Shoots.45hr.AJ1ATH1S16_Rep1_ATH1.CEL.gz	9.305511662	9.050140719	5.385316821	10.36294044	8.08342636	4.203719178	11.09969608	6.830606192	7.780028509	9.01161031	9.82979977	8.384804306	7.870837959	8.661699251	9.397149518
NRID12108_Nimmo_1.34_Shoots.48hr.AJ1ATH1S17_Rep1_ATH1.CEL.gz	9.664716457	9.916651431	6.587358275	9.810254316	8.930200222	4.117337488	11.60232952	8.028167341	9.029044575	8.91346583	9.965092067	9.042183535	7.937393598	9.319195802	9.978953
