	At2g38050	At3g50660	At5g05690	At5g38970	At3g30180	At4g36380	At3g13730	At2g26710	At1g13430	At2g03760
NRID12092_Nimmo_1.18_Shoots.0hr.AJ1ATH1S01_Rep1_ATH1.CEL.gz	6.957254895	7.265719686	9.738385513	2.131952708	6.974066778	4.549161984	3.427787067	2.784253648	2.882136856	5.478792024
NRID12093_Nimmo_1.19_Shoots.3hr.AJ1ATH1S02_Rep1_ATH1.CEL.gz	6.840103293	6.902399153	9.870443126	2.131952708	6.543075357	4.09315842	4.256773128	3.130374214	2.728964202	4.550252965
NRID12094_Nimmo_1.20_Shoots.6hr.AJ1ATH1S03_Rep1_ATH1.CEL.gz	6.599934958	6.298084223	9.522953908	2.131952708	7.168174779	4.164796894	3.427787067	2.929924426	3.111493146	5.940130322
NRID12095_Nimmo_1.21_Shoots.9hr.AJ1ATH1S04_Rep1_ATH1.CEL.gz	7.061420172	6.281746577	9.51776122	2.131952708	7.004505422	4.113717928	3.957600721	2.929924426	2.435680322	4.293954788
NRID12096_Nimmo_1.22_Shoots.12hr.AJ1ATH1S05_Rep1_ATH1.CEL.gz	7.487577128	5.765363421	9.89039789	2.131952708	6.993254341	5.239081188	4.163619435	2.929924426	3.037145087	4.235781798
NRID12097_Nimmo_1.23_Shoots.15hr.AJ1ATH1S06_Rep1_ATH1.CEL.gz	7.332912674	6.770667029	10.63354144	2.131952708	7.452977521	5.792386237	3.362180196	4.952651627	3.111493146	4.235781798
NRID12098_Nimmo_1.24_Shoots.18hr.AJ1ATH1S07_Rep1_ATH1.CEL.gz	7.668088798	6.646545096	10.3652026	2.131952708	7.35766669	6.082844635	3.82168255	3.87667466	3.111493146	4.088502063
NRID12099_Nimmo_1.25_Shoots.21hr.AJ1ATH1S08_Rep1_ATH1.CEL.gz	7.327827113	7.106225579	10.09266795	2.131952708	6.954013206	4.549161984	3.253474922	3.697756127	2.660719863	5.260664393
NRID12100_Nimmo_1.26_Shoots.24hr.AJ1ATH1S09_Rep1_ATH1.CEL.gz	7.28410818	6.532767473	9.895716263	2.131952708	6.538448524	4.169893382	3.47683617	2.519100122	3.116040449	4.136543778
NRID12101_Nimmo_1.27_Shoots.27hr.AJ1ATH1S10_Rep1_ATH1.CEL.gz	6.903351241	6.646545096	9.563344966	2.131952708	6.81380865	4.289632431	4.085667981	3.482981328	3.111493146	4.192184301
NRID12102_Nimmo_1.28_Shoots.30hr.AJ1ATH1S11_Rep1_ATH1.CEL.gz	7.239864581	5.927399504	9.601316907	2.137030007	6.790774054	4.831779092	3.611923045	2.880474769	3.433672496	3.712200503
NRID12103_Nimmo_1.29_Shoots.33hr.AJ1ATH1S12_Rep1_ATH1.CEL.gz	6.674355432	6.59807771	9.64013209	2.213950467	7.271778782	4.549161984	4.03280751	3.323716419	3.111493146	4.729878452
NRID12104_Nimmo_1.30_Shoots.36hr.AJ1ATH1S13_Rep1_ATH1.CEL.gz	7.450273527	6.531926356	10.25880831	2.131952708	6.812510091	5.035033967	3.938096564	3.515736695	3.602994931	3.749622829
NRID12105_Nimmo_1.31_Shoots.39hr.AJ1ATH1S14_Rep1_ATH1.CEL.gz	7.239864581	7.17863999	10.49871348	2.131952708	7.834450058	5.742794524	3.469452827	4.874462762	3.244080593	4.866510371
NRID12106_Nimmo_1.32_Shoots.42hr.AJ1ATH1S15_Rep1_ATH1.CEL.gz	7.590494294	6.350562301	10.2141176	2.131952708	7.213095573	5.006176771	2.8494804	2.929924426	3.759824313	3.905950923
NRID12107_Nimmo_1.33_Shoots.45hr.AJ1ATH1S16_Rep1_ATH1.CEL.gz	7.317359765	6.60946506	9.89039789	2.131952708	6.725188306	4.708336006	2.72098456	2.929924426	3.968997096	3.911546897
NRID12108_Nimmo_1.34_Shoots.48hr.AJ1ATH1S17_Rep1_ATH1.CEL.gz	7.22049873	6.703937897	9.589726202	2.131952708	7.070130846	4.241348517	3.551382233	3.20601848	3.208987652	3.998963299
